ID,COMPONENT_ARBITRARY,ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOPTIMETHGLY,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V100,V40,ZN,Y_LABEL
TRAIN_00000,COMPONENT3,1486,2011,7,200,0,3,93,0,0,3059,0.0,0,13,78,,,,,,,888,,0.0,27.0,1,14,16,1,16,6,1951,0,8504,21370,0,427,2,,5,,,,,,,,,0,,154.0,75,0
TRAIN_00001,COMPONENT2,1350,2021,51,375,0,2,19,0,0,2978,0.0,0,0,31,,,,,,,2,,0.0,,0,1,0,0,1,0,572,2,19,1117,0,0,0,,0,0.0,0.0,1.0,2.0,4.0,6.0,216.0,1454.0,0,,44.0,652,0
TRAIN_00002,COMPONENT2,2415,2015,2,200,0,110,1,1,0,17,0.0,0,1,2,,,,,,,4,,0.0,0.0,0,0,0,0,2,0,328,0,17,1334,0,0,1,,0,0.0,0.0,0.0,0.0,3.0,39.0,11261.0,41081.0,0,,72.6,412,1
TRAIN_00003,COMPONENT3,7389,2010,2,200,0,8,3,0,0,1960,0.0,0,0,1,,,,,,,37,,0.0,,0,4,1,0,0,0,906,1,44,21774,2,1,1,,0,,,,,,,,,0,,133.3,7,0
TRAIN_00004,COMPONENT3,3954,2015,4,200,0,1,157,0,0,71,0.0,0,0,0,,,,,,,71,,0.0,0.0,0,0,0,0,2,0,309,0,217,18470,0,2,0,,0,,,,,,,,,0,,133.1,128,0
TRAIN_00005,COMPONENT3,2061,2008,4,550,0,3,8,0,0,2770,0.0,0,3,179,,,,,,,550,,0.0,,0,12,42,11,4,4,1129,2,329,8685,2,32,5,,0,,,,,,,,,0,,69.7,1015,0
TRAIN_00006,COMPONENT3,1416,2015,7,616,0,0,21,0,0,130,0.0,0,0,3,,,,,,,35,,0.0,0.0,0,0,0,0,2,0,330,0,26,16280,0,1,0,,0,,,,,,,,,0,,148.5,24,0
TRAIN_00007,COMPONENT3,1170,2009,4,370,0,5,3,3,0,2589,0.0,0,3,6,,,,,,,81,,0.0,2.0,1,0,2,1,5,0,866,2,7735,17090,1,6,0,,0,,,,,,,,,0,,142.9,16,0
TRAIN_00008,COMPONENT3,4880,2014,7,200,0,0,1,0,0,11,0.0,0,4,125,,,,,,,166,,0.0,0.0,0,3,5,0,2,4,451,0,83,15960,0,2,0,,0,,,,,,,,,0,,140.7,89,0
TRAIN_00009,COMPONENT1,6748,2015,6,200,0,1,1,0,0,62,0.0,0,0,2,9.0,5.0,0.0,9.0,18.0,8.9,12,0.0,0.0,,0,13,0,3,6,0,1047,5,5,4191,0,3,2,0.2,0,,,,,,,,,0,13.4,98.9,1020,0
TRAIN_00010,COMPONENT1,1959,2008,5,200,0,1,6,2,0,8,,0,3,38,12.0,8.0,0.0,14.0,20.0,9.8,41,0.0,0.0,18.0,0,23,1,56,7,0,960,2,25,5144,2,12,4,0.9,0,,,,,,,,,0,13.1,97.6,1171,0
TRAIN_00011,COMPONENT3,1172,2018,5,375,0,3,2,1,0,2325,0.0,0,0,0,,,,,,,31,,0.0,0.0,0,0,0,0,1,0,295,0,139,13240,0,0,0,,0,,,,,,,,,0,,173.8,4,0
TRAIN_00012,COMPONENT3,3076,2013,22,200,0,0,2,0,0,56,0.0,0,0,5,,,,,,,30,,0.0,0.0,0,2,0,0,0,0,1001,0,23,20570,0,3,0,,0,,,,,,,,,0,,133.0,28,0
TRAIN_00013,COMPONENT3,3475,2016,3,200,0,7,86,0,0,3330,0.0,0,0,15,,,,,,,23,,0.0,0.0,0,7,0,0,0,0,905,0,23,8893,0,61,0,,0,,,,,,,,,0,,114.0,1087,0
TRAIN_00014,COMPONENT3,4969,2008,5,200,0,2,2,0,0,48,0.0,0,0,6,,,,,,,115,,0.0,,0,0,1,0,3,0,354,0,56,21060,1,3,1,,0,,,,,,,,,0,,152.3,12,0
TRAIN_00015,COMPONENT2,1830,2015,13,550,0,1,19,2,0,3174,0.0,0,0,9,,,,,,,2,,0.0,0.0,0,6,0,0,2,0,363,0,5,5075,0,0,0,,0,0.0,0.0,2.0,2.0,4.0,13.0,274.0,1181.0,0,,54.4,441,0
TRAIN_00016,COMPONENT2,5694,2009,6,200,0,1,2,0,0,32,,0,1,181,,,,,,,40,,0.0,12.0,0,4,0,0,1,0,472,2,66,1270,2,1,1,,0,0.0,1.0,3.0,72.0,102.0,,,,0,,44.4,522,0
TRAIN_00017,COMPONENT3,3793,2021,3,1485,0,0,13,0,0,159,0.0,0,1,8,,,,,,,150,,0.0,0.0,0,0,1,0,2,0,340,0,64,22910,0,21,0,,0,,,,,,,,,0,,133.8,11,0
TRAIN_00018,COMPONENT3,1000,2017,1,200,0,25,455,0,0,2670,0.0,0,1,4,,,,,,,70,,0.0,1.0,1,2,1,0,11,0,2185,0,56,27460,0,22,0,,0,,,,,,,,,0,,170.2,125,1
TRAIN_00019,COMPONENT4,1539,2011,7,200,0,12,196,0,0,2971,0.0,0,0,367,,,,,,,24,,0.0,9.0,0,8,0,4,35,0,1065,3,8,4697,0,4,0,,0,,,,,,,,,0,,71.6,1186,0
TRAIN_00020,COMPONENT1,2080,2010,5,200,0,0,30,0,0,32,0.0,0,0,2,14.0,8.0,0.0,17.0,20.0,10.3,6,0.0,0.0,2.0,0,9,0,197,0,0,891,2,10,4047,0,6,2,0.1,0,,,,,,,,,0,13.8,111.5,1003,0
TRAIN_00021,COMPONENT3,2896,2014,32,200,0,2,5,0,0,50,0.0,0,2,10,,,,,,,134,,0.0,0.0,0,1,2,0,2,0,250,0,139,19350,0,2,0,,0,,,,,,,,,0,,153.5,48,0
TRAIN_00022,COMPONENT3,6655,2018,2,200,0,0,2,0,0,398,0.0,0,0,1,,,,,,,25,,0.0,0.0,0,4,0,2,0,0,365,0,52,21220,0,1,0,,0,,,,,,,,,0,,136.7,44,0
TRAIN_00023,COMPONENT3,2064,2008,8,1264,0,3,17,1,6,120,0.0,1,1,6,,,,,,,23,,0.0,,1,6,1,4,0,0,2357,1,17,26632,2,3,2,,0,,,,,,,,,0,,147.6,71,0
TRAIN_00024,COMPONENT1,1991,2008,7,200,0,26,32,3,0,60,,0,2,2,14.0,7.0,1.0,15.0,20.0,9.8,12,0.0,0.0,6.0,0,14,1,214,1,0,1047,2,17,4342,1,9,2,0.2,0,,,,,,,,,0,13.5,109.2,1250,1
TRAIN_00025,COMPONENT1,2043,2011,8,1243,0,0,6,0,0,79,0.0,0,1,40,15.0,7.0,0.0,12.0,17.0,8.2,21,0.0,0.0,6.0,0,9,1,24,4,0,878,3,13,4034,2,8,3,0.2,0,,,,,,,,,0,11.9,83.2,1063,0
TRAIN_00026,COMPONENT3,1814,2009,6,200,0,1,13,1,0,2624,0.0,0,0,1,,,,,,,77,,0.0,2.0,0,1,2,0,2,0,612,0,96,27470,0,5,0,,0,,,,,,,,,0,,156.1,33,0
TRAIN_00027,COMPONENT2,1706,2012,7,200,0,2,10,0,0,127,0.0,0,0,1,,,,,,,4,,0.0,1.0,0,3,0,0,1,0,284,2,18,1582,0,4,0,,0,0.0,0.0,44.0,62.0,134.0,478.0,9765.0,24308.0,0,,45.8,428,0
TRAIN_00028,COMPONENT1,4488,2014,4,200,0,0,1,0,0,35,0.0,0,2,0,13.0,7.0,1.0,12.0,18.0,9.0,13,0.0,0.0,1.0,0,307,0,0,2,0,1332,1,8,7607,0,5,0,0.4,0,,,,,,,,,0,13.8,99.3,1507,0
TRAIN_00029,COMPONENT3,7671,2017,4,571,0,2,392,0,0,2814,0.0,0,0,0,,,,,,,161,,0.0,3.0,0,0,2,0,0,0,193,0,950,17800,0,5,0,,0,,,,,,,,,0,,145.9,17,0
TRAIN_00030,COMPONENT3,7636,2019,7,479,0,4,6,0,0,71,0.0,0,0,3,,,,,,,72,,0.0,2.0,0,2,2,2,4,0,1920,0,63,23810,0,5,0,,0,,,,,,,,,0,,160.5,202,0
TRAIN_00031,COMPONENT3,2018,2008,5,200,0,8,118,0,0,3023,,0,1,2,,,,,,,160,,0.0,4.0,0,8,22,150,2,1,1793,1,759,17647,18,12,1,,0,,,,,,,,,0,,107.5,783,0
TRAIN_00032,COMPONENT3,8242,2013,27,200,0,2,21,0,0,203,0.0,0,14,5,,,,,,,1207,,0.0,11.0,0,6,12,1,3,3,511,0,1864,23610,0,358,0,,6,,,,,,,,,0,,148.6,22,0
TRAIN_00033,COMPONENT1,3804,2014,15,200,0,2,202,0,0,8,0.0,0,2,1,14.0,8.0,1.0,17.0,21.0,8.8,16,0.0,0.0,9.0,0,13,0,231,1,0,1111,0,15,5091,0,6,2,0.4,0,,,,,,,,,0,13.6,104.5,1312,0
TRAIN_00034,COMPONENT2,1175,2007,2,375,0,8,6,4,0,2647,,0,1,134,,,,,,,7,,0.0,4.0,0,448,0,0,2,0,934,2,14,7223,0,8,0,,0,0.0,0.0,0.0,2.0,5.0,46.0,541.0,12543.0,0,,39.5,1057,0
TRAIN_00035,COMPONENT3,3448,2009,10,200,0,2,1,0,0,94,0.0,1,2,5,,,,,,,116,,0.0,,0,4,1,3,1,1,786,2,51,31449,2,3,1,,0,,,,,,,,,0,,156.1,19,0
TRAIN_00036,COMPONENT2,1364,2007,4,375,0,2,1,3,0,26,0.0,0,0,111,,,,,,,7,,0.0,0.0,0,1,0,0,0,0,427,3,1,5099,0,9,2,,0,0.0,0.0,0.0,17.0,44.0,113.0,731.0,21270.0,0,,53.4,578,0
TRAIN_00037,COMPONENT1,2023,2011,8,200,0,1,197,0,0,13,0.0,0,0,6,13.0,6.0,1.0,11.0,18.0,7.6,21,0.0,0.0,2.0,0,9,0,223,3,0,1115,0,7,4594,0,6,1,0.2,0,,,,,,,,,0,12.5,95.2,1247,0
TRAIN_00038,COMPONENT3,3601,2012,4,200,0,2,13,0,0,2889,0.0,0,2,0,,,,,,,132,,0.0,0.0,0,0,0,4,1,0,278,0,168,16250,0,10,0,,0,,,,,,,,,0,,153.6,117,0
TRAIN_00039,COMPONENT2,5885,2013,6,200,0,1,3,0,0,19,,0,0,32,,,,,,,23,,0.0,0.0,0,0,0,0,0,0,191,0,23,7520,0,0,0,,0,0.0,0.0,0.0,5.0,12.0,,,,0,,53.6,177,0
TRAIN_00040,COMPONENT3,1667,2014,8,200,0,1,10,2,0,16,0.0,0,2,0,,,,,,,255,,0.0,2.0,0,5,2,0,1,0,322,0,504,13970,0,69,0,,2,,,,,,,,,0,,144.2,16,0
TRAIN_00041,COMPONENT1,2918,2016,4,200,1,2,0,0,0,3382,1.0,0,0,2,13.0,7.0,0.0,10.0,19.0,7.6,37,0.0,0.0,3.0,0,16,0,1,3,0,934,0,12,4530,0,9,0,1.1,0,,,,,,,,,0,14.5,110.2,1161,0
TRAIN_00042,COMPONENT3,2739,2014,11,200,0,2,18,0,0,34,0.0,0,2,0,,,,,,,138,,0.0,2.0,0,0,1,0,0,0,467,0,73,20440,0,10,0,,0,,,,,,,,,0,,139.7,13,0
TRAIN_00043,COMPONENT4,1718,2011,9,200,0,0,35,0,0,1113,0.0,0,0,197,,,,,,,13,,0.0,3.0,0,15,0,4,12,0,1141,0,12,5495,0,3,0,,0,,,,,,,,,0,,73.9,1262,0
TRAIN_00044,COMPONENT1,1339,2013,8,539,0,1,7,2,0,3192,0.0,0,0,5,17.0,7.0,0.0,15.0,20.0,9.4,10,0.0,0.0,2.0,0,144,0,256,3,0,1284,1,16,5683,0,16,1,0.2,0,,,,,,,,,0,14.7,116.9,1464,0
TRAIN_00045,COMPONENT3,1446,2008,9,646,0,1,21,0,0,109,0.0,0,2,4,,,,,,,504,,0.0,0.0,0,2,3,55,4,0,2152,0,39,29040,0,2,0,,0,,,,,,,,,0,,141.8,31,0
TRAIN_00046,COMPONENT1,1586,2009,3,200,0,2,1,0,0,1996,,0,1,6,14.0,8.0,1.0,16.0,22.0,10.6,17,0.0,0.0,7.0,0,15,0,193,5,0,1195,1,15,5327,1,9,1,0.4,0,,,,,,,,,0,14.4,115.2,1358,0
TRAIN_00047,COMPONENT4,2056,2022,2,544,0,2,56,0,0,2977,0.0,0,0,0,,,,,,,14,,0.0,2.0,0,193,0,29,7,0,1026,0,10,3624,0,5,0,,0,,,,,,,,,0,,70.4,1074,0
TRAIN_00048,COMPONENT3,2435,2012,11,200,0,3,138,0,0,2697,0.0,0,1,2,,,,,,,193,,0.0,0.0,0,0,2,4,4,0,2347,0,19,35400,0,3,0,,0,,,,,,,,,0,,137.0,42,0
TRAIN_00049,COMPONENT4,4501,2018,6,200,0,2,8,0,0,3392,0.0,0,0,1,,,,,,,12,,0.0,,0,59,0,0,8,0,1070,0,18,4461,0,3,0,,0,,,,,,,,,0,,69.4,1175,0
TRAIN_00050,COMPONENT3,2210,2008,6,200,0,6,85,1,0,2425,0.0,0,11,37,,,,,,,333,,0.0,,0,2,6,4,0,3,824,0,12413,12842,0,68,0,,2,,,,,,,,,0,,95.7,238,0
